event_name,event_date,source_scope,source_event_id,round_group,confirmed_procedure,pool
Lazio 1ª prova U14/16/18/20  (B),2023-12-17,FASI,689,Qualification,Unknown,Boulder_Men
Lazio 1ª prova U14/16/18/20  (B),2023-12-17,FASI,689,Final,Unknown,Boulder_Women
Lazio 1ª prova U14/16/18/20  (B),2023-12-17,FASI,689,Final,Unknown,Boulder_Men
Liguria campionato regionale 2° prova (B),2023-12-17,FASI,696,Qualification,Unknown,Boulder_Women
Liguria campionato regionale 2° prova (B),2023-12-17,FASI,696,Qualification,Unknown,Boulder_Men
Liguria campionato regionale 2° prova (B),2023-12-17,FASI,696,Final,Unknown,Boulder_Women
Liguria campionato regionale 2° prova (B),2023-12-17,FASI,696,Final,Unknown,Boulder_Men
IFSC South American Cup Mar del Plata 2023,2023-12-15,IFSC,1347,Qualification,Onsight,Boulder_Men
IFSC South American Cup Mar del Plata 2023,2023-12-15,IFSC,1347,Qualification,Onsight,Boulder_Women
IFSC South American Cup Mar del Plata 2023,2023-12-15,IFSC,1347,Semi-final,Onsight,Boulder_Men
IFSC South American Cup Mar del Plata 2023,2023-12-15,IFSC,1347,Semi-final,Onsight,Boulder_Women
IFSC South American Cup Mar del Plata 2023,2023-12-15,IFSC,1347,Final,Onsight,Boulder_Men
IFSC South American Cup Mar del Plata 2023,2023-12-15,IFSC,1347,Final,Onsight,Boulder_Women
IFSC Asian Cup Riyadh 2023,2023-12-12,IFSC,1344,Qualification,Onsight,Boulder_Men
IFSC Asian Cup Riyadh 2023,2023-12-12,IFSC,1344,Qualification,Onsight,Boulder_Women
IFSC Asian Cup Riyadh 2023,2023-12-12,IFSC,1344,Semi-final,Onsight,Boulder_Men
IFSC Asian Cup Riyadh 2023,2023-12-12,IFSC,1344,Semi-final,Onsight,Boulder_Women
IFSC Asian Cup Riyadh 2023,2023-12-12,IFSC,1344,Final,Onsight,Boulder_Men
IFSC Asian Cup Riyadh 2023,2023-12-12,IFSC,1344,Final,Onsight,Boulder_Women
ACA Youth BOULDERING Local (Jr/A/B),2023-12-09,CEC,58,Qualification,Flash,Boulder_Men
ACA Youth BOULDERING Local (Jr/A/B),2023-12-09,CEC,58,Qualification,Flash,Boulder_Women
ACA Youth BOULDERING Local (Jr/A/B),2023-12-09,CEC,58,Final,Onsight,Boulder_Men
ACA Youth BOULDERING Local (Jr/A/B),2023-12-09,CEC,58,Final,Onsight,Boulder_Women
Basilicata 4° prova Campionato Regionale (B),2023-12-03,FASI,681,Qualification,Unknown,Boulder_Women
Basilicata 4° prova Campionato Regionale (B),2023-12-03,FASI,681,Qualification,Unknown,Boulder_Men
Macro Sud 4° prova Campionato Regionale (B),2023-12-03,FASI,679,Qualification,Unknown,Boulder_Women
Macro Sud 4° prova Campionato Regionale (B),2023-12-03,FASI,679,Qualification,Unknown,Boulder_Men
Macro Sud 4° prova Campionato Regionale (B),2023-12-03,FASI,679,Final,Unknown,Boulder_Women
Macro Sud 4° prova Campionato Regionale (B),2023-12-03,FASI,679,Final,Unknown,Boulder_Men
Puglia 4°prova Campionato Regionale (B),2023-12-03,FASI,682,Qualification,Unknown,Boulder_Women
Puglia 4°prova Campionato Regionale (B),2023-12-03,FASI,682,Qualification,Unknown,Boulder_Men
Puglia 4°prova Campionato Regionale (B),2023-12-03,FASI,682,Final,Unknown,Boulder_Men
Puglia 4°prova Campionato Regionale (B),2023-12-03,FASI,682,Final,Unknown,Boulder_Women
Toscana 2° prova di qualifica U20 Senior (B),2023-12-03,FASI,677,Qualification,Flash,Boulder_Women
Toscana 2° prova di qualifica U20 Senior (B),2023-12-03,FASI,677,Qualification,Flash,Boulder_Men
Toscana 2° prova di qualifica U20 Senior (B),2023-12-03,FASI,677,Final,Onsight,Boulder_Women
Toscana 2° prova di qualifica U20 Senior (B),2023-12-03,FASI,677,Final,Onsight,Boulder_Men
IFSC South American Cup Curitiba 2023,2023-12-01,IFSC,1346,Qualification,Onsight,Boulder_Men
IFSC South American Cup Curitiba 2023,2023-12-01,IFSC,1346,Qualification,Onsight,Boulder_Women
IFSC South American Cup Curitiba 2023,2023-12-01,IFSC,1346,Semi-final,Onsight,Boulder_Men
IFSC South American Cup Curitiba 2023,2023-12-01,IFSC,1346,Semi-final,Onsight,Boulder_Women
IFSC South American Cup Curitiba 2023,2023-12-01,IFSC,1346,Final,Onsight,Boulder_Men
IFSC South American Cup Curitiba 2023,2023-12-01,IFSC,1346,Final,Onsight,Boulder_Women
Emilia Romagna Campionato Regionale  3° prova (B),2023-11-26,FASI,669,Qualification,Unknown,Boulder_Men
Emilia Romagna Campionato Regionale  3° prova (B),2023-11-26,FASI,669,Qualification,Unknown,Boulder_Women
Emilia Romagna Campionato Regionale  3° prova (B),2023-11-26,FASI,669,Final,Unknown,Boulder_Men
Emilia Romagna Campionato Regionale  3° prova (B),2023-11-26,FASI,669,Final,Unknown,Boulder_Women
Sardegna Campionato Regionale 1° prova (B),2023-11-26,FASI,670,Qualification,Unknown,Boulder_Women
Sardegna Campionato Regionale 1° prova (B),2023-11-26,FASI,670,Qualification,Unknown,Boulder_Men
Sardegna Campionato Regionale 1° prova (B),2023-11-26,FASI,670,Final,Unknown,Boulder_Women
Sardegna Campionato Regionale 1° prova (B),2023-11-26,FASI,670,Final,Unknown,Boulder_Men
2023/24 Open Boulder and Lead Nationals,2023-11-23,CEC,55,Qualification,Flash,Boulder_Men
2023/24 Open Boulder and Lead Nationals,2023-11-23,CEC,55,Qualification,Flash,Boulder_Women
2023/24 Open Boulder and Lead Nationals,2023-11-23,CEC,55,Semi-final,Unknown,Boulder_Men
2023/24 Open Boulder and Lead Nationals,2023-11-23,CEC,55,Semi-final,Unknown,Boulder_Women
2023/24 Open Boulder and Lead Nationals,2023-11-23,CEC,55,Final,Unknown,Boulder_Men
2023/24 Open Boulder and Lead Nationals,2023-11-23,CEC,55,Final,Unknown,Boulder_Women
NEOM IFSC Masters 2023,2023-11-22,IFSC,1351,Semi-final,Onsight,Boulder_Men
NEOM IFSC Masters 2023,2023-11-22,IFSC,1351,Semi-final,Onsight,Boulder_Women
NEOM IFSC Masters 2023,2023-11-22,IFSC,1351,Final,Onsight,Boulder_Men
NEOM IFSC Masters 2023,2023-11-22,IFSC,1351,Final,Onsight,Boulder_Women
Liguria campionato regionale 1° prova (B),2023-11-19,FASI,661,Qualification,Unknown,Boulder_Women
Liguria campionato regionale 1° prova (B),2023-11-19,FASI,661,Qualification,Unknown,Boulder_Men
Liguria campionato regionale 1° prova (B),2023-11-19,FASI,661,Final,Unknown,Boulder_Women
Liguria campionato regionale 1° prova (B),2023-11-19,FASI,661,Final,Unknown,Boulder_Men
Zürcher Klettermeisterschaft 2023 (Boulder) - Minimum Zürich - new date!,2023-11-18,SAC-CAS,777,Final,Unknown,Boulder_Women
Zürcher Klettermeisterschaft 2023 (Boulder) - Minimum Zürich - new date!,2023-11-18,SAC-CAS,777,Final,Unknown,Boulder_Men
Toscana 1° prova di qualifica U20 Senior (B),2023-11-12,FASI,653,Qualification,Flash,Boulder_Women
Toscana 1° prova di qualifica U20 Senior (B),2023-11-12,FASI,653,Qualification,Flash,Boulder_Men
Toscana 1° prova di qualifica U20 Senior (B),2023-11-12,FASI,653,Final,Onsight,Boulder_Women
Toscana 1° prova di qualifica U20 Senior (B),2023-11-12,FASI,653,Final,Onsight,Boulder_Men
Campeonato España Bloque y Velocidad 2023 - Cáceres,2023-11-11,FEDME,18,Final,Unknown,Boulder_Men
Campeonato España Bloque y Velocidad 2023 - Cáceres,2023-11-11,FEDME,18,Final,Unknown,Boulder_Women
Campeonato España Bloque y Velocidad 2023 - Cáceres,2023-11-11,FEDME,18,Clasificatoria,Unknown,Boulder_Men
