pool,country,rating_family,athletes,median_entry_elo,mean_entry_elo,entry_q25,entry_q75,median_change_first_3,mean_change_first_3,change_q25,change_q75,median_observed_events,median_prior_competitions
Boulder_Men,HKG,IFSC-ELO,20,1784.5132250734318,1784.4617219407296,1770.3274378956617,1797.6300574686816,-3.0470097813068833,-5.994534550772494,-14.70582096654789,6.741542054481613,3.0,2.0
Boulder_Men,HKG,WC+-ELO,16,1787.9711217454378,1785.6193416609256,1768.863273877068,1800.2330400089036,9.119461447349295,12.251535299142546,-11.098799999542393,21.697894833051294,2.0,4.0
Boulder_Men,HON,Global-ELO,1,1764.929162373774,1764.929162373774,1764.929162373774,1764.929162373774,-14.066341483129918,-14.066341483129918,-14.066341483129918,-14.066341483129918,1.0,2.0
Boulder_Men,HON,IFSC-ELO,1,1764.929162373774,1764.929162373774,1764.929162373774,1764.929162373774,-14.066341483129918,-14.066341483129918,-14.066341483129918,-14.066341483129918,1.0,2.0
Boulder_Men,HON,WC+-ELO,1,1764.929162373774,1764.929162373774,1764.929162373774,1764.929162373774,-14.066341483129918,-14.066341483129918,-14.066341483129918,-14.066341483129918,1.0,2.0
Boulder_Men,HUN,Global-ELO,12,1786.746508719994,1791.0599730256988,1763.616277478599,1802.779025550008,-3.553696443868148,-2.362444894946975,-12.288614041079882,9.919464649751376,3.0,5.5
Boulder_Men,HUN,IFSC-ELO,24,1776.6923698529497,1777.7743266955006,1769.9106785147098,1785.7476335082886,-14.336773477959014,-13.399768654209888,-22.68377711046884,-3.6682520528413534,3.0,2.0
Boulder_Men,HUN,WC+-ELO,8,1798.369039383435,1798.976687704172,1776.410482780801,1801.3523028206898,9.511275194582822,6.930756160314758,-0.12419346257684083,17.641704160670542,3.0,9.5
Boulder_Men,IDN,Global-ELO,1,1765.4421217735687,1765.4421217735687,1765.4421217735687,1765.4421217735687,-5.532866084626676,-5.532866084626676,-5.532866084626676,-5.532866084626676,2.0,2.0
Boulder_Men,IDN,IFSC-ELO,1,1765.4421217735687,1765.4421217735687,1765.4421217735687,1765.4421217735687,-5.532866084626676,-5.532866084626676,-5.532866084626676,-5.532866084626676,2.0,2.0
Boulder_Men,INA,Global-ELO,13,1793.4453004115944,1793.1648540266865,1775.2491602877153,1802.7650204977897,-4.007837328321557,-3.8820860433455753,-17.57400107198032,6.407353260868376,3.0,2.0
Boulder_Men,INA,IFSC-ELO,18,1795.7547615334734,1794.5013099442972,1787.001100378006,1802.1698613213764,-0.9083391193292982,-2.565528362832563,-16.150741126469768,6.31489035122064,2.5,2.0
Boulder_Men,INA,WC+-ELO,5,1798.530774597848,1800.4678833159996,1793.4689008119717,1799.9911463539504,2.554460471692664,2.6083393758649436,-8.60409214724973,6.371266285739239,1.0,2.0
Boulder_Men,IND,Global-ELO,13,1785.5538099565033,1786.7209328901752,1773.0878775227059,1800.135441239943,-18.561317829253312,-18.30638932989693,-24.81707964854695,-14.925729968864061,3.0,2.0
Boulder_Men,IND,IFSC-ELO,17,1773.3180325413862,1781.9453889304136,1771.0670245467547,1795.62473709668,-14.925729968864061,-13.763140178656291,-23.821522602092728,-4.6880205821332765,3.0,2.0
Boulder_Men,IND,WC+-ELO,12,1774.6102279417905,1781.5328115280615,1769.0911787273053,1790.327080944888,-13.35429726250402,-16.18959468284,-21.72957559107647,-8.194233380249557,2.0,2.0
Boulder_Men,IRI,Global-ELO,19,1794.491748889088,1797.3566919191335,1782.68970221858,1810.3098198482683,-10.017830573381843,-7.303449189386727,-14.621683300573181,-2.6436436470082754,3.0,2.0
Boulder_Men,IRI,IFSC-ELO,22,1795.5955868475853,1798.7483985069964,1785.7428158754078,1811.1184815313889,-8.056480088933313,-6.210153323548763,-12.738131647045577,-0.10096990369089553,3.0,2.0
Boulder_Men,IRI,WC+-ELO,11,1780.4108828281935,1784.780163717445,1768.8892617861015,1798.1111577153792,-7.560245362959449,9.211921641392708,-11.629290287782283,7.428794797964315,2.0,3.0
Boulder_Men,IRL,Global-ELO,13,1777.9505294982039,1776.6354026991598,1761.7941150112927,1783.640445995015,1.5698795191935915,-7.542121545274592,-16.453114712498063,2.900749757276799,3.0,4.0
Boulder_Men,IRL,IFSC-ELO,17,1777.9505294982039,1779.424448008346,1768.5166461166923,1786.3248616864698,-16.36902908054344,-10.302738289306811,-25.515113615434075,-9.441952058101378,3.0,2.0
Boulder_Men,IRL,WC+-ELO,8,1782.63538745617,1793.7518813436504,1772.0555990798553,1805.2526964227643,-7.137823025169496,-11.341254804452916,-17.933297114665322,-3.3096229549319105,1.5,2.0
Boulder_Men,ISL,Global-ELO,6,1753.959545796521,1757.051494869199,1745.672262629842,1763.739517011501,-31.196257063325675,-31.327445994018035,-37.41017847012347,-23.019552065542257,3.0,4.0
Boulder_Men,ISL,IFSC-ELO,10,1768.4452182339387,1771.8022071082105,1763.8058890741959,1781.1543958860555,-17.973777489442796,-21.997446413119814,-23.974682143080486,-15.946379320488347,3.0,2.0
Boulder_Men,ISL,WC+-ELO,5,1739.8789500235969,1743.188853596582,1739.2771426850338,1746.506984387268,-6.802170487414969,-6.973153105701113,-9.298241628432606,-5.012026832047013,1.0,9.0
Boulder_Men,ISR,Global-ELO,31,1804.2812311204216,1827.6544708312447,1774.4504309592699,1871.426265779083,0.0,3.902982192850283,-8.03865120120247,10.114978038114259,3.0,7.0
Boulder_Men,ISR,IFSC-ELO,58,1799.0795314013287,1796.8491580093903,1785.2942916022146,1809.6723536463178,4.035067106934321,7.686537765973165,-5.739700055198114,24.8027837907008,3.0,2.0
Boulder_Men,ISR,WC+-ELO,33,1803.7052001007012,1815.833757586876,1775.1330529812255,1853.458842401426,5.145929898535542,19.295151032144016,-6.468484325481768,24.248935907581426,2.0,5.0
Boulder_Men,ITA,Global-ELO,1179,1794.0186096908326,1795.5894177301013,1791.7663118468813,1796.7682504480508,-0.1935139854153931,0.10686544915587792,-2.2612053230157017,1.8008427616132394,3.0,2.0
Boulder_Men,ITA,IFSC-ELO,113,1799.9916188826408,1802.5374518392612,1791.3667557544045,1814.5729721779135,7.463379474940439,8.575735917442929,-3.4980642517371052,19.015415815691085,3.0,2.0
Boulder_Men,ITA,WC+-ELO,55,1820.8518932891038,1837.8795437772335,1798.4050746885828,1864.5589272706327,9.362098155111198,29.708553366753137,-1.2740718971989509,48.31536989516928,1.0,10.0
Boulder_Men,JPN,Global-ELO,63,1823.8353117724448,1834.7060397583602,1805.559135468399,1855.8495508423607,25.95109138334533,28.959801618996366,4.332199936449683,47.10909031126391,3.0,2.0
Boulder_Men,JPN,IFSC-ELO,93,1824.939937033761,1823.132277227871,1810.129691399741,1836.6818509114394,25.873074569928576,27.72497179049991,3.716586814877701,44.98351646601441,3.0,2.0
Boulder_Men,JPN,WC+-ELO,59,1839.2349862003373,1866.6778656027366,1832.2096472311746,1871.8659886747482,30.534382167335025,57.203631837611205,0.7842260351735604,86.48080744046979,2.0,3.0
Boulder_Men,KAZ,Global-ELO,13,1768.4649718715661,1765.9248699430098,1757.5481403947572,1778.8138433741476,-18.640425041151047,-17.280259496798845,-25.45156757733116,-16.356762344594017,3.0,2.0
Boulder_Men,KAZ,IFSC-ELO,31,1769.0090558589523,1770.4821093422534,1763.3830114158313,1778.0985567290272,-21.463389960579434,-20.395616195344186,-28.545507902753116,-13.383850527970708,3.0,2.0
Boulder_Men,KAZ,WC+-ELO,22,1763.8291150193672,1762.0489165738725,1752.8623810033941,1770.5336056766293,-16.117689472474353,-15.080586074847899,-20.644815202531504,-13.357756028230824,1.0,3.0
Boulder_Men,KGZ,Global-ELO,1,1750.9526695073084,1750.9526695073084,1750.9526695073084,1750.9526695073084,-16.560933598402926,-16.560933598402926,-16.560933598402926,-16.560933598402926,2.0,2.0
Boulder_Men,KGZ,IFSC-ELO,2,1760.4970049134452,1760.4970049134452,1755.7248372103768,1765.2691726165135,-16.829011301355422,-16.829011301355422,-16.96305015283167,-16.694972449879174,1.5,2.0
Boulder_Men,KGZ,WC+-ELO,2,1758.0243380365928,1758.0243380365928,1752.0158368950983,1764.0328391780872,-14.35634442450305,-14.35634442450305,-15.726716714405484,-12.985972134600615,1.0,3.0
Boulder_Men,KOR,Global-ELO,38,1795.860233184448,1798.664193949146,1775.6794629694482,1808.807654400794,2.4197116560118275,8.965703764423223,-7.308715458969289,23.510062718498148,3.0,2.0
Boulder_Men,KOR,IFSC-ELO,57,1796.6110470020349,1798.1885725880643,1783.6749555239319,1815.12107013603,5.734752713136913,11.469765186298597,-6.9361234010066255,28.38618465178979,3.0,2.0
Boulder_Men,KOR,WC+-ELO,42,1798.0588880579476,1807.2617707883144,1778.6830007451051,1822.0134657755907,3.1745048087617533,15.246418694502896,-4.365781286621086,19.807222191415917,2.0,3.0
Boulder_Men,KSA,Global-ELO,4,1779.9129667624231,1776.1429632177974,1773.1116178112923,1782.944312168928,-12.501192692122572,-11.99058811091652,-16.456903201239527,-8.034877601799565,1.0,2.0
Boulder_Men,KSA,IFSC-ELO,6,1774.703236600296,1772.3368983226376,1762.7398265312395,1781.0801211030775,-13.448984277599152,-14.491158295706214,-21.350356608564027,-10.060937146634501,1.0,2.0
Boulder_Men,KSA,WC+-ELO,3,1777.578658081114,1774.108192475819,1768.6445775414704,1781.307040212815,-27.970361983312387,-26.026246574584928,-32.03428161308875,-20.99026924044483,2.0,2.0
Boulder_Men,LAT,Global-ELO,6,1771.4428115943376,1800.374892166391,1765.754248045256,1776.2461798389284,5.21154018056734,3.0346648373695566,2.905175865849685,17.61144142689568,3.0,2.0
