coaching_unlock_rank,problem_id,coaching_athletes_unlocked,coaching_observations_unlocked,physical_observations_unlocked,board_observations_unlocked
191,CEC|event:121|route:9536,2,24,18,6
192,CEC|event:121|route:9534,2,24,18,6
193,IFSC|event:1396|route:13626,2,20,16,4
194,IFSC|event:1396|route:13629,2,20,16,4
195,CEC|event:77|route:6407,2,20,16,4
196,CEC|event:75|route:5998,2,20,16,4
197,CEC|event:75|route:6047,2,20,16,4
198,CEC|event:75|route:6048,2,20,16,4
199,CEC|event:75|route:6166,2,20,16,4
200,IFSC|event:1396|route:13627,2,20,16,4
201,IFSC|event:1396|route:13628,2,20,16,4
202,IFSC|event:1396|route:13631,2,20,16,4
203,CEC|event:77|route:6404,2,20,16,4
204,CEC|event:75|route:5999,2,20,16,4
205,CEC|event:75|route:6000,2,20,16,4
206,CEC|event:75|route:6046,2,20,16,4
207,CEC|event:75|route:6165,2,20,16,4
208,IFSC|event:1396|route:13630,2,20,16,4
209,CEC|event:77|route:6405,2,20,16,4
210,CEC|event:77|route:6406,2,20,16,4
211,CEC|event:77|route:6408,2,20,16,4
212,CEC|event:75|route:6001,2,20,16,4
213,CEC|event:75|route:6049,2,20,16,4
214,CEC|event:75|route:6164,2,20,16,4
215,CEC|event:75|route:6167,2,20,16,4
216,CEC|event:75|route:6168,2,20,16,4
217,CEC|event:75|route:6169,2,20,16,4
218,IFSC|event:1522|route:19268,2,14,11,3
219,IFSC|event:1522|route:19269,2,14,11,3
220,IFSC|event:1522|route:19270,2,14,11,3
221,IFSC|event:1522|route:19271,2,14,11,3
222,IFSC|event:1522|route:19272,2,14,11,3
223,CEC|event:224|route:22433,1,49,35,14
224,CEC|event:224|route:22434,1,49,35,14
225,CEC|event:224|route:22435,1,49,35,14
226,CEC|event:224|route:22436,1,49,35,14
227,CEC|event:224|route:22437,1,49,35,14
228,CEC|event:224|route:22438,1,49,35,14
229,CEC|event:224|route:23224,1,49,35,14
230,CEC|event:224|route:23225,1,49,35,14
231,CEC|event:224|route:23226,1,49,35,14
232,CEC|event:224|route:23227,1,49,35,14
233,CEC|event:224|route:23248,1,49,35,14
234,CEC|event:224|route:23249,1,49,35,14
235,CEC|event:224|route:23250,1,49,35,14
236,CEC|event:224|route:23251,1,49,35,14
237,CEC|event:211|route:19852,1,40,28,12
238,CEC|event:211|route:19853,1,40,28,12
239,CEC|event:211|route:19854,1,40,28,12
240,CEC|event:211|route:19855,1,40,28,12
241,CEC|event:211|route:19856,1,40,28,12
242,CEC|event:211|route:19918,1,40,28,12
243,CEC|event:211|route:19919,1,40,28,12
244,CEC|event:211|route:19920,1,40,28,12
245,CEC|event:211|route:19921,1,40,28,12
246,CEC|event:192|route:17756,1,39,29,10
247,CEC|event:192|route:17757,1,39,29,10
248,CEC|event:192|route:17758,1,39,29,10
249,CEC|event:192|route:17759,1,39,29,10
250,CEC|event:192|route:17760,1,39,29,10
251,CEC|event:192|route:17886,1,39,29,10
252,CEC|event:192|route:17887,1,39,29,10
253,CEC|event:192|route:17888,1,39,29,10
254,CEC|event:192|route:17889,1,39,29,10
255,CEC|event:153|route:13965,1,39,29,10
256,CEC|event:153|route:13966,1,39,29,10
257,CEC|event:153|route:13967,1,39,29,10
258,CEC|event:153|route:13968,1,39,29,10
259,CEC|event:153|route:13969,1,39,29,10
260,CEC|event:153|route:14024,1,39,29,10
261,CEC|event:153|route:14025,1,39,29,10
262,CEC|event:153|route:14026,1,39,29,10
263,CEC|event:153|route:14027,1,39,29,10
264,IFSC|event:1465|route:16277,1,33,25,8
265,IFSC|event:1465|route:16278,1,33,25,8
266,IFSC|event:1465|route:16279,1,33,25,8
267,IFSC|event:1465|route:16280,1,33,25,8
268,IFSC|event:1465|route:16281,1,33,25,8
269,IFSC|event:1465|route:18085,1,33,25,8
270,IFSC|event:1465|route:18086,1,33,25,8
271,IFSC|event:1465|route:18087,1,33,25,8
272,IFSC|event:1465|route:18088,1,33,25,8
273,IFSC|event:1531|route:20508,1,30,21,9
274,IFSC|event:1531|route:20509,1,30,21,9
275,IFSC|event:1531|route:20510,1,30,21,9
276,IFSC|event:1531|route:20511,1,30,21,9
277,IFSC|event:1522|route:19278,1,29,21,8
278,IFSC|event:1522|route:19279,1,29,21,8
279,IFSC|event:1522|route:19280,1,29,21,8
280,IFSC|event:1522|route:19281,1,29,21,8
281,IFSC|event:1522|route:19282,1,29,21,8
282,CEC|event:224|route:22457,1,29,21,8
283,CEC|event:224|route:22458,1,29,21,8
284,CEC|event:224|route:22459,1,29,21,8
285,CEC|event:224|route:22460,1,29,21,8
286,CEC|event:224|route:22461,1,29,21,8
287,CEC|event:224|route:22462,1,29,21,8
288,CEC|event:224|route:23240,1,29,21,8
289,CEC|event:224|route:23241,1,29,21,8
290,CEC|event:224|route:23242,1,29,21,8
291,CEC|event:224|route:23243,1,29,21,8
292,CEC|event:224|route:23264,1,29,21,8
293,CEC|event:224|route:23265,1,29,21,8
294,CEC|event:224|route:23266,1,29,21,8
295,CEC|event:224|route:23267,1,29,21,8
296,CEC|event:211|route:19832,1,26,19,7
297,CEC|event:211|route:19833,1,26,19,7
298,CEC|event:211|route:19834,1,26,19,7
299,CEC|event:211|route:19835,1,26,19,7
300,CEC|event:211|route:19836,1,26,19,7
301,CEC|event:211|route:19902,1,26,19,7
302,CEC|event:211|route:19903,1,26,19,7
303,CEC|event:211|route:19904,1,26,19,7
304,CEC|event:211|route:19905,1,26,19,7
305,CEC|event:153|route:13985,1,19,15,4
306,CEC|event:153|route:13986,1,19,15,4
307,CEC|event:153|route:13987,1,19,15,4
308,CEC|event:153|route:13988,1,19,15,4
309,CEC|event:153|route:13989,1,19,15,4
310,CEC|event:153|route:14012,1,19,15,4
311,CEC|event:153|route:14013,1,19,15,4
312,CEC|event:153|route:14014,1,19,15,4
313,CEC|event:153|route:14015,1,19,15,4
314,CEC|event:192|route:17736,1,18,14,4
315,CEC|event:192|route:17737,1,18,14,4
316,CEC|event:192|route:17738,1,18,14,4
317,CEC|event:192|route:17739,1,18,14,4
318,CEC|event:192|route:17740,1,18,14,4
319,CEC|event:192|route:17870,1,18,14,4
320,CEC|event:192|route:17871,1,18,14,4
321,CEC|event:192|route:17872,1,18,14,4
322,CEC|event:192|route:17873,1,18,14,4
323,CEC|event:119|route:9145,1,18,14,4
324,CEC|event:119|route:9146,1,18,14,4
325,CEC|event:119|route:9147,1,18,14,4
326,CEC|event:119|route:9148,1,18,14,4
327,CEC|event:119|route:9265,1,18,14,4
328,CEC|event:119|route:9266,1,18,14,4
329,CEC|event:119|route:9267,1,18,14,4
330,CEC|event:119|route:9268,1,18,14,4
331,CEC|event:119|route:9269,1,18,14,4
332,CEC|event:119|route:9270,1,18,14,4
333,CEC|event:123|route:9793,1,16,12,4
334,CEC|event:123|route:9794,1,16,12,4
335,CEC|event:123|route:9795,1,16,12,4
336,CEC|event:123|route:9796,1,16,12,4
337,CEC|event:123|route:9711,1,15,11,4
338,CEC|event:123|route:9712,1,15,11,4
339,CEC|event:123|route:9713,1,15,11,4
340,CEC|event:123|route:9714,1,15,11,4
341,CEC|event:123|route:9715,1,15,11,4
342,CEC|event:123|route:9716,1,15,11,4
343,CEC|event:123|route:9741,1,15,11,4
344,CEC|event:123|route:9742,1,15,11,4
345,CEC|event:123|route:9743,1,15,11,4
346,CEC|event:123|route:9744,1,15,11,4
347,IFSC|event:1418|route:17177,1,15,11,4
348,IFSC|event:1418|route:17178,1,15,11,4
349,IFSC|event:1418|route:17179,1,15,11,4
350,IFSC|event:1418|route:17180,1,15,11,4
351,IFSC|event:1418|route:17181,1,15,11,4
352,IFSC|event:1418|route:17182,1,15,11,4
353,CEC|event:123|route:9797,1,15,11,4
354,CEC|event:123|route:9798,1,15,11,4
355,CEC|event:123|route:9799,1,15,11,4
356,CEC|event:123|route:9800,1,15,11,4
357,CEC|event:172|route:15439,1,11,9,2
358,CEC|event:172|route:15440,1,11,9,2
359,CEC|event:172|route:15441,1,11,9,2
360,CEC|event:172|route:15442,1,11,9,2
361,CEC|event:172|route:15443,1,11,9,2
362,CEC|event:77|route:6409,1,10,8,2
363,CEC|event:77|route:6410,1,10,8,2
364,CEC|event:77|route:6411,1,10,8,2
365,CEC|event:77|route:6412,1,10,8,2
366,CEC|event:77|route:6413,1,10,8,2
367,CEC|event:71|route:5502,1,10,8,2
368,CEC|event:71|route:5503,1,10,8,2
369,CEC|event:71|route:5504,1,10,8,2
370,CEC|event:71|route:5505,1,10,8,2
371,CEC|event:71|route:5538,1,10,8,2
372,CEC|event:71|route:5539,1,10,8,2
373,CEC|event:71|route:5540,1,10,8,2
374,CEC|event:71|route:5541,1,10,8,2
375,CEC|event:71|route:5542,1,10,8,2
376,CEC|event:71|route:5543,1,10,8,2
377,CEC|event:182|route:16448,1,9,7,2
378,CEC|event:182|route:16449,1,9,7,2
379,CEC|event:182|route:16450,1,9,7,2
380,CEC|event:182|route:16451,1,9,7,2
381,CEC|event:182|route:16452,1,9,7,2
382,CEC|event:182|route:16453,1,9,7,2
383,CEC|event:182|route:16484,1,9,7,2
384,CEC|event:182|route:16485,1,9,7,2
385,CEC|event:182|route:16486,1,9,7,2
386,CEC|event:182|route:16487,1,9,7,2
387,CEC|event:165|route:14474,1,9,7,2
388,CEC|event:165|route:14475,1,9,7,2
389,CEC|event:165|route:14476,1,9,7,2
390,CEC|event:165|route:14477,1,9,7,2
391,CEC|event:165|route:14478,1,9,7,2
392,CEC|event:165|route:15306,1,9,7,2
393,CEC|event:165|route:15307,1,9,7,2
394,CEC|event:165|route:15308,1,9,7,2
395,CEC|event:165|route:15584,1,9,7,2
396,CEC|event:165|route:15585,1,9,7,2
397,CEC|event:165|route:15586,1,9,7,2
398,CEC|event:165|route:15587,1,9,7,2
399,CEC|event:165|route:15588,1,9,7,2
400,CEC|event:165|route:15589,1,9,7,2
401,CEC|event:165|route:15590,1,9,7,2
402,CEC|event:165|route:15591,1,9,7,2
403,CEC|event:153|route:13980,1,9,7,2
404,CEC|event:153|route:13981,1,9,7,2
405,CEC|event:153|route:13982,1,9,7,2
406,CEC|event:153|route:13983,1,9,7,2
407,CEC|event:153|route:13984,1,9,7,2
408,CEC|event:153|route:14008,1,9,7,2
409,CEC|event:153|route:14009,1,9,7,2
410,CEC|event:153|route:14010,1,9,7,2
411,CEC|event:153|route:14011,1,9,7,2
412,CEC|event:154|route:13142,1,9,7,2
413,CEC|event:154|route:13143,1,9,7,2
414,CEC|event:154|route:13144,1,9,7,2
415,CEC|event:154|route:13145,1,9,7,2
416,CEC|event:154|route:13146,1,9,7,2
417,CEC|event:154|route:13362,1,9,7,2
418,CEC|event:154|route:13363,1,9,7,2
419,CEC|event:154|route:13364,1,9,7,2
420,CEC|event:154|route:15157,1,9,7,2
421,CEC|event:154|route:15158,1,9,7,2
422,CEC|event:154|route:15159,1,9,7,2
423,CEC|event:154|route:15160,1,9,7,2
424,CEC|event:154|route:15161,1,9,7,2
425,CEC|event:154|route:15162,1,9,7,2
426,CEC|event:154|route:15163,1,9,7,2
427,CEC|event:154|route:15164,1,9,7,2
