snapshot_date,pool,cycle_phase,rank40_points,rank40_global_elo,median_top40_global_elo,ranked_athletes,events_365
2009-06-30,Boulder_Men,Early cycle,705.0,1603.236722179908,1928.465185867673,224,8
2009-06-30,Boulder_Women,Early cycle,483.33000000000004,1726.5611482542247,1897.4661577036832,142,8
2010-05-14,Boulder_Men,Early cycle,463.0,2027.714657286108,1927.3923627114,183,5
2010-05-14,Boulder_Women,Early cycle,395.0,1891.703212549779,1903.1027147273285,109,5
2010-05-28,Boulder_Men,Early cycle,557.41,1677.0628861234206,1928.6964801068616,198,6
2010-05-28,Boulder_Women,Early cycle,520.0,1768.6458405487024,1892.4049059788977,117,6
2010-06-04,Boulder_Men,Early cycle,546.66,1860.971933503987,1915.8307497141086,197,6
2010-06-04,Boulder_Women,Early cycle,415.0,1949.06173554029,1901.6549169013933,119,6
2010-06-17,Boulder_Men,Early cycle,461.65999999999997,1839.602855625062,1911.4883337823017,191,5
2010-06-17,Boulder_Women,Early cycle,326.65999999999997,1931.8281406584667,1908.9479598425535,108,5
2010-06-25,Boulder_Men,Early cycle,565.0,1867.9253825093974,1913.0699499501568,200,6
2010-06-25,Boulder_Women,Early cycle,348.5,1848.6874981877424,1910.1642609983173,114,6
2010-07-03,Boulder_Men,Early cycle,488.5,1593.7356702682496,1915.2888902810614,178,6
2010-07-03,Boulder_Women,Early cycle,348.5,1848.6874981877424,1905.908027173534,99,6
2010-07-16,Boulder_Men,Early cycle,490.0,1802.804271225806,1932.7906280278298,183,7
2010-07-16,Boulder_Women,Early cycle,359.5,1870.6580345363473,1901.5739037805934,102,7
2010-07-30,Boulder_Men,Early cycle,581.66,1891.8495189705543,1929.6007345718203,191,8
2010-07-30,Boulder_Women,Early cycle,412.98,1887.3570938765047,1899.23963922738,108,8
2011-04-14,Boulder_Men,Early cycle,770.75,1706.4667283048461,1933.817242367589,200,9
2011-04-14,Boulder_Women,Early cycle,495.5,1839.991737933771,1892.4550448908126,120,9
2011-05-07,Boulder_Men,Early cycle,834.33,1737.101681383079,1939.2975657398958,205,10
2011-05-07,Boulder_Women,Early cycle,504.5,1897.7073654098958,1899.790105743219,127,10
2011-05-13,Boulder_Men,Early cycle,939.45,1671.375152986394,1941.2942270315361,215,11
2011-05-13,Boulder_Women,Early cycle,657.16,1617.6250571726484,1903.188383570553,130,11
2011-05-27,Boulder_Men,Early cycle,847.66,1849.2111014409365,1929.1164929459,222,11
2011-05-27,Boulder_Women,Early cycle,527.5,1731.1201839244209,1903.188383570553,136,11
2011-06-03,Boulder_Men,Early cycle,823.66,1849.2111014409365,1936.2220300573022,220,11
2011-06-03,Boulder_Women,Early cycle,445.0,1785.6117728711904,1903.188383570553,143,11
2011-06-17,Boulder_Men,Early cycle,909.33,1715.5127478763786,1941.1986048580118,213,11
2011-06-17,Boulder_Women,Early cycle,475.5,1819.9660898046136,1905.2610629840037,138,11
2011-06-25,Boulder_Men,Early cycle,945.6800000000001,1840.2156716236766,1931.297322733075,198,11
