model,evaluation_domain,evaluation_window,competitions,athlete_starts,spearman,winner_logloss,pairwise_brier,pairwise_logloss,top_24_brier,top_16_brier,top_8_brier,top_3_brier,pairwise_brier_s250,pairwise_logloss_s250,pairwise_brier_s300,pairwise_logloss_s300,pairwise_brier_s350,pairwise_logloss_s350,pairwise_brier_s450,pairwise_logloss_s450,pairwise_brier_s500,pairwise_logloss_s500,pairwise_brier_s600,pairwise_logloss_s600
hier_level_balanced_provisional_e3_sd120,CEC national,2025+ locked evaluation,14,719,0.6360202069506296,3.094541824552821,0.17935644051606933,0.5380393108628336,0.16613274404311132,0.16590920639084228,0.12781726827688145,0.06864285977849253,,,,,,,,,,,,
hier_level_balanced_provisional_e3_sd120,CEC other,2022-2024 tuning,6,306,0.41205595361110897,3.2054933516317896,0.2350401286016616,0.6727192078240182,0.24179268418773794,0.21818673798086438,0.16452471702222282,0.08875092020412971,,,,,,,,,,,,
hier_level_balanced_provisional_e3_sd120,CEC other,2025+ locked evaluation,4,231,0.5632843478763605,3.9010737522387804,0.19911925368884723,0.5991680354888864,0.19572830559336485,0.18467826012295446,0.1380230077171259,0.08953351112204477,,,,,,,,,,,,
hier_level_balanced_provisional_e3_sd120,CEC provincial / local,2022-2024 tuning,124,2868,0.5234837136214193,2.4979893900819796,0.2269358413897772,0.6732994345911144,0.07949295444081775,0.15543013536501246,0.1934301382678512,0.1463354069840291,,,,,,,,,,,,
hier_level_balanced_provisional_e3_sd120,CEC provincial / local,2025+ locked evaluation,233,5930,0.6050973935936607,2.3097628622992676,0.19770845840745963,0.5956469921730022,0.07990038068500631,0.14501035576502816,0.17205375604964326,0.12135384950145266,,,,,,,,,,,,
hier_level_balanced_provisional_e3_sd120,Open WC+,2022-2024 tuning,69,2883,0.7249671066560628,2.8630953469250984,0.15359647792368916,0.4725535649686102,0.1375372434534628,0.1482808529788812,0.12135959646101661,0.07378439059606476,,,,,,,,,,,,
hier_level_balanced_provisional_e3_sd120,Open WC+,2025+ locked evaluation,45,1831,0.7514363788098657,2.591630927672045,0.14697765620913913,0.4555498978882711,0.14139696099262156,0.14747316391819346,0.1139379155530499,0.07132013337356495,,,,,,,,,,,,
hier_level_balanced_provisional_e3_sd120,Other,2022-2024 tuning,736,23350,0.5860517070506179,2.5644624424302607,0.2086075068873752,0.6359874522688552,0.10264741370717574,0.14527057108609515,0.16202945779962596,0.12428087745577719,,,,,,,,,,,,
hier_level_balanced_provisional_e3_sd120,Other,2025+ locked evaluation,1922,47515,0.6877419544112595,2.276089915805745,0.19469422956863489,0.591117662605389,0.06528286801544136,0.1160113955452191,0.16760541401000176,0.13565938697374602,,,,,,,,,,,,
hier_level_conservative,CEC national,2022-2024 tuning,24,1306,0.4990556382167566,3.6552512609579577,0.23192705321687127,0.6597126710800757,0.22738671355585097,0.23441749401025438,0.21994349128886811,0.1947444187863904,,,,,,,,,,,,
