model,evaluation_domain,selected_pairwise_scale,tuning_pairwise_brier,evaluation_pairwise_brier,tuning_pairwise_logloss,evaluation_pairwise_logloss,evaluation_spearman,evaluation_top_8_brier
quality_a0.75_transfer_1.00,Open WC+,400,0.16288379735741296,0.15448559262917505,0.5029882491125283,0.48476779356096716,0.7684334098129101,0.13126258941645313
quality_a0.75_transfer_1.00,Other,400,0.2222080311216064,0.23460818976742603,0.6453785353016885,0.6693458874392234,0.6874477731753809,0.22576481094045686
quality_a1.00_transfer_1.00,CEC national,400,0.23632448453662136,0.2217214521348942,0.6688931496116318,0.6383547007379915,0.6094391760960889,0.20917057906143047
quality_a1.00_transfer_1.00,CEC other,400,0.22876227492470477,0.20679695608883358,0.652003685146407,0.6133816051605203,0.6416106823757866,0.17434596229596772
quality_a1.00_transfer_1.00,CEC provincial / local,400,0.24071960666140466,0.23525888943365006,0.6793817149098917,0.6687364398379035,0.5681325433442695,0.2329278484460775
quality_a1.00_transfer_1.00,Open WC+,400,0.16525511491344264,0.15623970633022186,0.5093099418385618,0.48989371262222886,0.7710560488648183,0.13267776984795324
quality_a1.00_transfer_1.00,Other,400,0.22645496051061964,0.23755804134888328,0.6542902328289913,0.6754016181343389,0.6806120369437565,0.2286252714871198
unweighted_full_transfer,CEC national,400,0.21932987592259676,0.19124209493615457,0.633010634056112,0.5711901773325122,0.6391939404994115,0.15981985142540364
unweighted_full_transfer,CEC other,400,0.2179249267976926,0.19682794149363647,0.6282543156359961,0.5888363491963076,0.5833893682696002,0.13868647702922052
unweighted_full_transfer,CEC provincial / local,400,0.22406475722613847,0.20842807408197253,0.6448333061354475,0.6116890373713575,0.6340624513806324,0.2062550626405532
unweighted_full_transfer,Open WC+,400,0.1574828875224735,0.15196005723670752,0.4872826908951334,0.47509941216883417,0.7522072233281125,0.12795717502836698
unweighted_full_transfer,Other,400,0.20572336332150412,0.21797926549307134,0.6096724378867401,0.6346759595607604,0.7046295784276361,0.21009677934858098
